measurement_no,specimen_no,measurement_type,average,reid_no,is_type,specimen_part,identified_name,identified_no,difference,accepted_name_x,accepted_no,max_ma,min_ma,reference_no,accepted_name_y,class,order,family,genus,diet,_merge
36232,18587,length,596.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36233,18587,circumference,117.0,0,neither,fibula,Allosaurus agilis,80821,"misspelling of, obsolete variant of",Allosaurus fragilis,52962,,,34423,Allosaurus,Saurischia,Avetheropoda,Allosauridae,Allosaurus,carnivore,both
36234,18588,length,884.0,0,neither,fibula,Sinraptor dongi,54821,,Sinraptor dongi,54821,,,34423,Sinraptor,Saurischia,Avetheropoda,Neovenatoridae,Sinraptor,carnivore,both
36235,18588,circumference,283.0,0,neither,fibula,Sinraptor dongi,54821,,Sinraptor dongi,54821,,,34423,Sinraptor,Saurischia,Avetheropoda,Neovenatoridae,Sinraptor,carnivore,both
36236,18589,length,815.0,0,neither,tibia,Sinraptor dongi,54821,,Sinraptor dongi,54821,,,34423,Sinraptor,Saurischia,Avetheropoda,Neovenatoridae,Sinraptor,carnivore,both
36237,18589,circumference,232.0,0,neither,tibia,Sinraptor dongi,54821,,Sinraptor dongi,54821,,,34423,Sinraptor,Saurischia,Avetheropoda,Neovenatoridae,Sinraptor,carnivore,both
36238,18590,length,681.0,0,neither,fibula,Sinraptor dongi,54821,,Sinraptor dongi,54821,,,34423,Sinraptor,Saurischia,Avetheropoda,Neovenatoridae,Sinraptor,carnivore,both
36239,18590,circumference,88.0,0,neither,fibula,Sinraptor dongi,54821,,Sinraptor dongi,54821,,,34423,Sinraptor,Saurischia,Avetheropoda,Neovenatoridae,Sinraptor,carnivore,both
36242,18592,length,787.0,0,holotype,fibula,Laelaps aquilunguis,53032,recombined as,Dryptosaurus aquilunguis,53032,70.6,66.0,34423,Dryptosaurus,Saurischia,Avetheropoda,,Dryptosaurus,carnivore,both
36243,18592,circumference,270.0,0,holotype,fibula,Laelaps aquilunguis,53032,recombined as,Dryptosaurus aquilunguis,53032,70.6,66.0,34423,Dryptosaurus,Saurischia,Avetheropoda,,Dryptosaurus,carnivore,both
36244,18593,length,830.0,0,holotype,tibia,Laelaps aquilunguis,53032,recombined as,Dryptosaurus aquilunguis,53032,70.6,66.0,34423,Dryptosaurus,Saurischia,Avetheropoda,,Dryptosaurus,carnivore,both
36245,18593,circumference,258.0,0,holotype,tibia,Laelaps aquilunguis,53032,recombined as,Dryptosaurus aquilunguis,53032,70.6,66.0,34423,Dryptosaurus,Saurischia,Avetheropoda,,Dryptosaurus,carnivore,both
36246,18594,circumference,64.0,13789,neither,fibula,Tanycolagreus topwilsoni,68260,,Tanycolagreus topwilsoni,68260,157.3,145.0,34423,Tanycolagreus,Saurischia,Avetheropoda,,Tanycolagreus,carnivore,both
36247,18594,length,210.0,13789,neither,fibula,Tanycolagreus topwilsoni,68260,,Tanycolagreus topwilsoni,68260,157.3,145.0,34423,Tanycolagreus,Saurischia,Avetheropoda,,Tanycolagreus,carnivore,both
36248,18595,circumference,41.0,13789,neither,tibia,Tanycolagreus topwilsoni,68260,,Tanycolagreus topwilsoni,68260,157.3,145.0,34423,Tanycolagreus,Saurischia,Avetheropoda,,Tanycolagreus,carnivore,both
36249,18595,length,165.0,13789,neither,tibia,Tanycolagreus topwilsoni,68260,,Tanycolagreus topwilsoni,68260,157.3,145.0,34423,Tanycolagreus,Saurischia,Avetheropoda,,Tanycolagreus,carnivore,both
36250,18596,circumference,24.0,13789,neither,fibula,Tanycolagreus topwilsoni,68260,,Tanycolagreus topwilsoni,68260,157.3,145.0,34423,Tanycolagreus,Saurischia,Avetheropoda,,Tanycolagreus,carnivore,both
36251,18596,length,162.0,13789,neither,fibula,Tanycolagreus topwilsoni,68260,,Tanycolagreus topwilsoni,68260,157.3,145.0,34423,Tanycolagreus,Saurischia,Avetheropoda,,Tanycolagreus,carnivore,both
36252,18597,length,433.0,0,holotype,femur,Anserimimus planinychus,66672,,Anserimimus planinychus,66672,72.1,66.0,34423,Anserimimus,Saurischia,Avetheropoda,Ornithomimidae,Anserimimus,"herbivore, omnivore",both
36253,18597,circumference,145.0,0,holotype,femur,Anserimimus planinychus,66672,,Anserimimus planinychus,66672,72.1,66.0,34423,Anserimimus,Saurischia,Avetheropoda,Ornithomimidae,Anserimimus,"herbivore, omnivore",both
36254,18598,length,472.0,0,holotype,tibia,Anserimimus planinychus,66672,,Anserimimus planinychus,66672,72.1,66.0,34423,Anserimimus,Saurischia,Avetheropoda,Ornithomimidae,Anserimimus,"herbivore, omnivore",both
36255,18598,circumference,125.0,0,holotype,tibia,Anserimimus planinychus,66672,,Anserimimus planinychus,66672,72.1,66.0,34423,Anserimimus,Saurischia,Avetheropoda,Ornithomimidae,Anserimimus,"herbivore, omnivore",both
36256,18599,length,427.0,0,holotype,fibula,Anserimimus planinychus,66672,,Anserimimus planinychus,66672,72.1,66.0,34423,Anserimimus,Saurischia,Avetheropoda,Ornithomimidae,Anserimimus,"herbivore, omnivore",both
36257,18599,circumference,29.0,0,holotype,fibula,Anserimimus planinychus,66672,,Anserimimus planinychus,66672,72.1,66.0,34423,Anserimimus,Saurischia,Avetheropoda,Ornithomimidae,Anserimimus,"herbivore, omnivore",both
36258,18600,length,326.0,12435,neither,femur,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36259,18600,circumference,106.0,12435,neither,femur,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36529,18600,width,31.5,12435,neither,femur,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36260,18601,length,301.0,12437,neither,femur,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36261,18601,circumference,103.0,12437,neither,femur,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36262,18602,length,403.0,12435,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36263,18602,circumference,89.0,12435,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36530,18602,width,24.0,12435,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36264,18603,length,305.0,12435,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36265,18603,circumference,89.0,12435,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36266,18604,length,463.0,12437,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36267,18604,circumference,115.0,12437,neither,tibia,Ornithomimus asiaticus,57275,recombined as,Archaeornithomimus asiaticus,57275,83.5,70.6,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36268,18605,length,428.0,0,neither,tibia,Archaeornithomimus asiaticus,57276,,Archaeornithomimus asiaticus,57275,,,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36269,18605,circumference,104.0,0,neither,tibia,Archaeornithomimus asiaticus,57276,,Archaeornithomimus asiaticus,57275,,,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36270,18606,length,421.0,0,neither,tibia,Archaeornithomimus asiaticus,57276,,Archaeornithomimus asiaticus,57275,,,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36271,18606,circumference,102.0,0,neither,tibia,Archaeornithomimus asiaticus,57276,,Archaeornithomimus asiaticus,57275,,,34423,Archaeornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Archaeornithomimus,"herbivore, omnivore",both
36282,18612,length,392.0,0,neither,femur,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36283,18612,circumference,100.0,0,neither,femur,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36284,18613,length,436.0,0,neither,tibia,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36285,18613,circumference,92.0,0,neither,tibia,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36286,18614,length,504.0,0,neither,femur,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36287,18614,circumference,153.0,0,neither,femur,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36288,18615,length,537.0,0,neither,tibia,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36289,18615,circumference,146.0,0,neither,tibia,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36290,18616,length,507.0,0,neither,fibula,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36291,18616,circumference,30.0,0,neither,fibula,Gallimimus bullatus,57265,,Gallimimus bullatus,57265,,,34423,Gallimimus,Saurischia,Avetheropoda,Ornithomimidae,Gallimimus,"herbivore, omnivore",both
36292,18617,length,443.0,0,neither,femur,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36293,18617,circumference,107.0,0,neither,femur,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36294,18618,length,498.0,0,neither,tibia,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36295,18618,circumference,97.0,0,neither,tibia,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36296,18619,length,431.0,0,neither,fibula,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
