"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"36503","18762","mea","3","","width","31","",""
"36504","18762","mea","3","","length","286","",""
"36505","18763","mea","11","","width","54","",""
"36506","18763","mea","11","","length","554","",""
"36507","18764","mea","9","","width","56","",""
"36508","18764","mea","9","","length","437","",""
"36509","18765","mea","1","","width","24","",""
"36510","18765","mea","1","","length","334","",""
"36511","18766","mea","1","","length","1080","",""
"36512","18766","mea","1","","circumference","344","",""
"36513","18767","mea","1","","width","17.0","",""
"36514","18767","mea","1","","length","256.0","",""
"36515","18768","mea","1","","width","11.4","",""
"36516","18768","mea","1","","length","205.0","",""
"36517","18769","mea","1","","width","12.0","",""
"36518","18769","mea","1","","length","217.0","",""
"36519","18770","mea","1","","width","21.3","",""
"36520","18770","mea","1","","length","272.0","",""
"36521","18771","mea","1","","width","7.5","",""
"36522","18771","mea","1","","length","140.0","",""
"36523","18772","mea","1","","width","7.9","",""
"36524","18772","mea","1","","length","148.0","",""
"36525","18773","mea","1","","width","14.8","",""
"36526","18773","mea","1","","length","132","",""
"36527","18774","mea","1","","width","64.5","",""
"36528","18774","mea","1","","length","110.6","",""
"36531","18775","mea","1","","length","159","",""
"137551","18775","mea","1","","width","5.5","",""
"36532","18776","mea","1","","length","161","",""
"137552","18776","mea","1","","width","10.5","",""
"36537","18781","mea","1","","length","425","",""
"36538","18782","mea","1","","length","400","",""
"36539","18783","mea","1","","length","760","",""
"36540","18784","mea","1","","length","687","",""
"36541","18785","mea","1","","length","310","",""
"122388","18785","mea","1","","width","118","",""
"36542","18786","mea","1","","length","850","",""
"36543","18787","mea","1","","length","690","",""
"36554","18795","mea","1","","width","228","",""
"36555","18795","mea","1","","length","1153","",""
"36556","18796","mea","1","","length","355","",""
"36557","18797","mea","1","","length","1010","",""
"36558","18797","mea","1","","circumference","440","",""
"36559","18798","mea","1","","length","740","",""
"36560","18798","mea","1","","circumference","295","",""
"36561","18799","mea","1","","length","690","",""
"36562","18799","mea","1","","circumference","244","",""
"36563","18800","mea","1","","length","1575","",""
"142051","18800","mea","1","","width","208","",""
"142052","18800","mea","1","","circumference","565","",""
"36564","18801","mea","1","","length","1020","",""
"142053","18801","mea","1","","width","158","",""
"142054","18801","mea","1","","circumference","419","",""
"36565","18802","mea","1","","length","1075","",""
"142055","18802","mea","1","","circumference","295","",""
"36566","18803","mea","1","","width","204","",""
"36567","18803","mea","1","","length","1240","",""
"36568","18804","mea","1","","length","512","",""
"36569","18805","mea","1","","length","1542","",""
"36570","18806","mea","1","","length","1410","",""
"142089","18806","mea","1","","width","183","",""
"142095","18806","mea","1","","circumference","510","",""
"36571","18807","mea","1","","length","1010","",""
"142091","18807","mea","1","","width","130","",""
"142092","18807","mea","1","","circumference","358","",""
"36572","18808","mea","1","","length","1055","",""
"142093","18808","mea","1","","width","88","",""
"142094","18808","mea","1","","circumference","240","",""
"36587","18817","mea","1","","length","1032","",""
"36588","18818","mea","1","","length","985","",""
"36589","18819","mea","1","","length","1285","",""
"36590","18820","mea","1","","length","425","",""
"36591","18821","mea","1","","length","1080","",""
"36592","18821","mea","1","","circumference","470","",""
"36593","18822","mea","1","","length","870","",""
"36594","18822","mea","1","","circumference","285","",""
"36595","18823","mea","1","","length","840","",""
"36596","18823","mea","1","","circumference","255","",""
"36597","18824","mea","1","","length","870","",""
"36598","18824","mea","1","","circumference","265","",""
"36599","18825","mea","1","","length","910","",""
"36600","18825","mea","1","","circumference","290","",""
"36601","18826","mea","1","","length","770","",""
"36602","18827","mea","1","","length","560","",""
"36603","18828","mea","1","","length","550","",""
"36604","18829","mea","1","","length","1430","",""
"36605","18829","mea","1","","circumference","560","",""
"36606","18830","mea","1","","length","1060","",""
"36607","18830","mea","1","","circumference","390","",""
"36608","18831","mea","1","","length","1120","",""
"36609","18832","mea","1","","length","1080","",""
"36610","18833","mea","1","","length","1130","",""
"36611","18834","mea","1","","length","1640","",""
"36612","18834","mea","1","","circumference","730","",""
"36613","18835","mea","1","","circumference","480","",""
"36614","18836","mea","1","","length","1140","",""
"36615","18837","mea","1","","length","950","",""
"36616","18838","mea","1","","width","180","",""
"36617","18838","mea","1","","length","1300","",""
"36618","18839","mea","1","","width","220","",""
"36619","18839","mea","1","","length","900","",""
"36620","18840","mea","1","","length","215","",""
"36621","18841","mea","1","","length","610","",""
"36622","18841","mea","1","","circumference","255","",""
"36623","18842","mea","1","","length","680","",""
"36624","18842","mea","1","","circumference","190","",""
"36625","18843","mea","1","","length","620","",""
"36626","18843","mea","1","","circumference","175","",""
"36627","18844","mea","1","","length","1150","",""
"36628","18845","mea","1","","length","1020","",""
"36629","18846","mea","1","","length","970","",""
"36630","18847","mea","1","","width","200","",""
"36631","18847","mea","1","","length","810","",""
"36632","18848","mea","1","","length","501","",""
"36633","18849","mea","1","","length","500","",""
"36634","18849","mea","1","","circumference","170","",""
"36635","18850","mea","1","","length","440","",""
"36636","18850","mea","1","","circumference","120","",""
"36637","18851","mea","1","","length","1040","",""
"36638","18852","mea","1","","length","870","",""
"36639","18853","mea","1","","length","820","",""
"36640","18854","mea","1","","length","500","",""
"36641","18855","mea","1","","length","630","",""
"36642","18856","mea","1","","length","600","",""
"36643","18857","mea","1","","length","1170","",""
"36644","18858","mea","1","","length","1000","",""
"36645","18859","mea","1","","length","920","",""
"36646","18860","mea","1","","width","165","",""
"36647","18860","mea","1","","length","950","",""
"36648","18861","mea","1","","length","310","",""
"36649","18862","mea","1","","width","130","",""
"36650","18862","mea","1","","length","790","",""
"36651","18863","mea","1","","length","500","",""
"36652","18864","mea","1","","width","300","",""
"36653","18864","mea","1","","length","1280","",""
"36654","18865","mea","1","","length","1040","",""
"36655","18866","mea","1","","width","200","",""
"36656","18866","mea","1","","length","1080","",""
"36657","18867","mea","1","","width","145","",""
"36658","18867","mea","1","","length","780","",""
"36659","18868","mea","1","","length","730","",""
"36660","18869","mea","1","","width","45","",""
"36661","18869","mea","1","","length","385","",""
"36662","18870","mea","1","","width","215.9","",""
"36663","18870","mea","1","","length","1231.9","",""
"36664","18871","mea","1","","width","112","",""
"36665","18871","mea","1","","length","300","",""
"36666","18872","mea","1","","width","145","",""
"36667","18872","mea","1","","length","980","",""
"36668","18872","mea","1","","circumference","340","",""
"36669","18873","mea","1","","length","890","",""
"36670","18873","mea","1","","circumference","260","",""
"36671","18874","mea","1","","length","1050","",""
"36672","18874","mea","1","","circumference","310","",""
"36673","18875","mea","1","","length","960","",""
"36674","18875","mea","1","","circumference","255","",""
"36675","18876","mea","1","","length","274","",""
"36676","18877","mea","1","","length","99","",""
"36677","18878","mea","1","","length","260.3","",""
"36678","18879","mea","1","","length","206","",""
"36679","18880","mea","1","","length","352","",""
"36680","18881","mea","1","","length","344.6","",""
"36681","18882","mea","1","","length","333","",""
"36682","18883","mea","1","","length","800","",""
"36683","18884","mea","1","","length","400","",""
"36684","18885","mea","1","","length","635","",""
"36685","18886","mea","1","","length","950","",""
"36686","18887","mea","1","","length","610","",""
"36687","18888","mea","1","","length","630","",""
"36689","18890","mea","1","","width","635","",""
"36690","18890","mea","1","","length","1093","",""
"36691","18891","mea","1","","length","864","",""
"36692","18892","mea","1","","length","628","",""
"36693","18893","mea","1","","length","488","",""
"36694","18894","mea","1","","length","1050","",""
"36695","18895","mea","1","","width","970","",""
"36696","18895","mea","1","","length","1665","",""
"36697","18896","mea","1","","length","725","",""
"36698","18897","mea","1","","length","1135","",""
"36699","18898","mea","1","","length","1150","",""
"36700","18899","mea","1","","length","980","",""
"36701","18900","mea","1","","length","1160","",""
"36702","18901","mea","1","","length","1270","",""
"36703","18902","mea","1","","length","1040","",""
"36704","18903","mea","1","","length","340","",""
"36705","18904","mea","1","","length","198","",""
"36706","18905","mea","1","","length","2489.2","",""
"36707","18906","mea","1","","length","337","",""
"36708","18907","mea","1","","length","245","",""
"36709","18908","mea","1","","length","260","",""
"36710","18909","mea","1","","length","565","",""
"36711","18910","mea","1","","length","555","",""
"36712","18911","mea","1","","length","590","",""
"36713","18912","mea","1","","length","750","",""
"36714","18913","mea","1","","width","11","",""
"36715","18913","mea","1","","length","100","",""
"36716","18914","mea","1","","length","1645","",""
"36717","18915","mea","1","","length","1090","",""
"36718","18916","mea","1","","length","190","",""
"36719","18917","mea","1","","length","150","",""
"36720","18918","mea","1","","length","393","",""
"36721","18919","mea","1","","length","362","",""
"111647","18919","mea","1","","width","39","",""
"36722","18920","mea","1","","length","600","",""
"36723","18921","mea","1","","length","450","",""
"36724","18922","mea","1","","length","350","",""
"36725","18923","mea","1","","length","740","",""
"36726","18924","mea","1","","length","600","",""
"36727","18925","mea","1","","length","560","",""
"36728","18926","mea","1","","length","800","",""
"36729","18927","mea","1","","length","500","",""
"36730","18928","mea","1","","length","460","",""
"36731","18929","mea","1","","length","618","",""
"36732","18930","mea","1","","length","375","",""
"36733","18931","mea","1","","length","360","",""
"36734","18932","mea","1","","length","262","",""
"36735","18933","mea","1","","length","232","",""
"36736","18934","mea","1","","length","592","",""
"36737","18935","mea","1","","length","531","",""
"36738","18936","mea","1","","length","200","",""
"36739","18937","mea","1","","length","190","",""
"36740","18938","mea","1","","length","1100","",""
"36741","18939","mea","1","","width","127","",""
"36742","18939","mea","1","","length","755","",""
"36743","18940","mea","1","","length","740","",""
"36744","18941","mea","1","","width","214","",""
"36745","18941","mea","1","","length","630","",""
"36746","18942","mea","1","","width","158","",""
"36747","18942","mea","1","","length","610","",""
"36748","18943","mea","1","","width","140","",""
"36749","18943","mea","1","","length","555","",""
"36750","18944","mea","1","","length","323.85","",""
"36751","18945","mea","1","","length","165.1","",""
"36752","18946","mea","1","","length","155.575","",""
"36753","18947","mea","1","","length","1022.35","",""
"36754","18948","mea","1","","length","990.6","",""
"36755","18949","mea","1","","length","749.3","",""
"36756","18950","mea","1","","length","533.4","",""
"36757","18951","mea","1","","length","482.6","",""
"36758","18952","mea","1","","length","508","",""
"36759","18953","mea","1","","length","431.8","",""
"36760","18954","mea","1","","length","317.5","",""
"36761","18955","mea","1","","length","546.1","",""
"36762","18956","mea","1","","length","280","",""
"36763","18957","mea","1","","length","215","",""
"36764","18958","mea","1","","length","195","",""
"36765","18959","mea","1","","length","310","",""
"36766","18960","mea","1","","length","455","",""
"36767","18961","mea","1","","length","390","",""
"36768","18962","mea","1","","length","483","",""
"36769","18963","mea","1","","length","539","",""
"36770","18964","mea","1","","length","670","",""
"36771","18964","mea","1","","circumference","362","",""
"36772","18965","mea","1","","length","448","",""
"36773","18966","mea","1","","length","808","",""
"36774","18967","mea","1","","length","874","",""
"36775","18968","mea","1","","length","582","",""
"36776","18969","mea","1","","circumference","376","",""
"36777","18970","mea","1","","circumference","274","",""
"36778","18971","mea","1","","length","565","",""
"36779","18972","mea","1","","length","585","",""
"36780","18973","mea","1","","length","665","",""
"36781","18974","mea","1","","length","1105","",""
"36782","18975","mea","1","","length","890","",""
"36783","18976","mea","1","","length","520","",""
"36784","18977","mea","1","","length","496","",""
"36785","18978","mea","1","","length","560","",""
"36786","18979","mea","1","","length","75","",""
"36787","18980","mea","1","greatest","width","82","",""
"36788","18980","mea","1","","length","170","",""
"36789","18981","mea","1","","length","106","",""
"36790","18982","mea","1","","length","132","",""
"36791","18983","mea","1","","length","118","",""
"36792","18984","mea","1","","length","155","",""
"36793","18985","mea","1","","length","135","",""
"36794","18986","mea","1","","length","152.5","",""
"36795","18987","mea","1","","length","151","",""
"36796","18988","mea","1","","length","180","",""
"36797","18989","mea","1","greatest","length","156.0","",""
"158767","18989","mea","1","least","width","12.0","",""
"36798","18990","mea","1","greatest","length","184.2","",""
"158768","18990","mea","1","least","width","13.1","",""
"36799","18991","mea","1","","length","131","",""
"36800","18992","mea","1","","length","170","",""
"36801","18993","mea","1","","length","145","",""
"36802","18994","mea","1","","length","225","",""
"36803","18995","mea","1","","length","787.4","",""
"36804","18995","mea","1","","circumference","279.4","",""
